step,action,action_name,reward,ego_x,ego_y,ego_v,ttc_min,collision,d_cz
0,3,GO,0.06999999999998807,95.88,64.8,0.2,10.0,0,35.88
1,3,GO,0.14999999999997612,95.84,64.8,0.4,10.0,0,35.84
2,3,GO,0.23000000000000684,95.78,64.8,0.6000000000000001,10.0,0,35.78
3,3,GO,0.3100000000000375,95.7,64.8,0.8,10.0,0,35.7
4,3,GO,0.3899999999999829,95.6,64.8,1.0,10.0,0,35.6
5,3,GO,0.47000000000001363,95.48,61.6,1.2,10.0,0,35.480000000000004
6,3,GO,0.5499999999999591,95.34,61.6,1.4,56.764037817528845,0,35.34
7,3,GO,0.6300000000000324,95.18,61.6,1.5999999999999999,44.222119721179155,0,35.18
8,3,GO,0.7099999999999778,95.0,61.6,1.7999999999999998,36.06740241149874,0,35.0
9,3,GO,0.7900000000000085,94.8,61.6,1.9999999999999998,30.45427136771296,0,34.800000000000004
10,3,GO,0.8699999999999966,94.58,61.6,2.1999999999999997,26.359211627709794,0,34.58
11,3,GO,0.9499999999999846,94.34,61.6,2.4,23.395373632924954,0,34.34
12,3,GO,1.0300000000000153,94.08,61.6,2.6,20.845811486762393,0,34.08
13,3,GO,1.1100000000000034,93.8,61.6,2.8000000000000003,18.89678066486381,0,33.800000000000004
14,3,GO,1.1899999999999915,93.5,61.6,3.0000000000000004,17.220969796275416,0,33.5
15,3,GO,1.2700000000000222,93.18,61.6,3.2000000000000006,15.848647031691959,0,33.18
16,3,GO,1.3499999999999677,92.84,61.6,3.400000000000001,14.543720335643345,0,32.84
17,3,GO,1.430000000000041,92.48,61.6,3.600000000000001,13.467132683822788,0,32.480000000000004
18,3,GO,1.5099999999999865,92.1,61.6,3.800000000000001,12.55955604654017,0,32.1
19,3,GO,1.5900000000000172,91.7,61.6,4.000000000000001,11.770439279754044,0,31.700000000000003
20,3,GO,1.6699999999999626,91.28,61.6,4.200000000000001,10.993676827353983,0,31.28
21,3,GO,1.7499999999999933,90.84,61.6,4.400000000000001,10.309888087736221,0,30.840000000000003
22,3,GO,1.830000000000024,90.38,61.6,4.600000000000001,9.688528478397927,0,30.380000000000003
23,3,GO,1.9100000000000121,89.9,61.6,4.800000000000002,9.100457764864512,0,29.9
24,3,GO,1.9900000000000002,89.4,61.6,5.000000000000002,8.641289591496596,0,29.4
25,3,GO,2.0699999999999883,88.88,61.6,5.200000000000002,8.137305847843297,0,28.880000000000003
26,3,GO,2.1499999999999764,88.34,61.6,5.400000000000002,7.740224434306933,0,28.340000000000003
27,3,GO,2.230000000000007,87.78,61.6,5.600000000000002,7.349567807671748,0,27.78
28,3,GO,2.310000000000038,87.2,61.6,5.8000000000000025,6.969135905135199,0,27.200000000000003
29,3,GO,2.3899999999999832,86.6,61.6,6.000000000000003,6.638722412866212,0,26.6
30,3,GO,2.470000000000014,85.98,61.6,6.200000000000003,6.311835762992177,0,25.979999999999997
31,3,GO,2.550000000000002,85.34,61.6,6.400000000000003,6.009944979526467,0,25.339999999999996
32,3,GO,2.62999999999999,84.67999999999999,61.6,6.600000000000003,5.700565992322412,0,24.68
33,3,GO,2.709999999999978,84.0,61.6,6.800000000000003,5.402177721092809,0,24.0
34,3,GO,2.7900000000000515,83.3,61.6,7.0000000000000036,5.139779458949721,0,23.299999999999997
35,3,GO,2.869999999999997,82.58,61.6,7.200000000000004,4.899258052761371,0,22.58
36,3,GO,2.949999999999985,81.84,61.6,7.400000000000004,4.663023595751366,0,21.839999999999996
37,3,GO,3.030000000000016,81.08,61.6,7.600000000000004,4.429085480823983,0,21.079999999999995
38,3,GO,3.110000000000004,80.3,61.6,7.800000000000004,4.2170496588528135,0,20.299999999999994
39,3,GO,3.189999999999992,79.5,61.6,8.000000000000004,4.004854993771709,0,19.499999999999993
40,3,GO,3.2700000000000227,78.67999999999999,61.6,8.200000000000003,3.793252343389315,0,18.679999999999993
41,3,GO,3.3500000000000103,77.83999999999999,61.6,8.400000000000002,3.5990985628217045,0,17.839999999999993
42,3,GO,3.4299999999999558,76.97999999999999,61.6,8.600000000000001,3.4078629403483753,0,16.979999999999993
43,3,GO,3.5099999999999865,76.1,61.6,8.8,3.230230821144399,0,16.099999999999994
44,3,GO,3.590000000000017,75.2,61.6,9.0,3.056500888699125,0,15.199999999999996
45,3,GO,0.6700000000000053,74.28,61.6,9.2,2.880269541371855,0,14.279999999999994
46,3,GO,0.7500000000000355,73.33999999999999,61.6,9.399999999999999,2.712794750661246,0,13.339999999999993
47,3,GO,0.829999999999981,72.38,61.6,9.599999999999998,2.55742660317967,0,12.379999999999992
48,3,GO,0.9100000000000117,71.39999999999999,61.6,9.799999999999997,2.401955162628892,0,11.399999999999991
49,3,GO,0.9899999999999998,70.39999999999999,61.6,9.999999999999996,2.2558821884247644,0,10.399999999999991
50,3,GO,1.0699999999999876,69.38,61.6,10.199999999999996,2.1087432782325983,0,9.379999999999992
51,3,GO,1.1499999999999757,68.33999999999999,61.6,10.399999999999995,1.9662085881038465,0,8.339999999999993
52,3,GO,1.2300000000000062,67.28,61.6,10.599999999999994,1.8269230537135388,0,7.279999999999994
53,3,GO,1.3099999999999943,66.19999999999999,61.6,10.799999999999994,1.6922938820818432,0,6.199999999999996
54,3,GO,1.3899999999999824,65.1,61.6,10.999999999999993,1.55978684163435,0,5.099999999999994
55,3,GO,1.4700000000000129,63.98,61.6,11.199999999999992,1.429064925660658,0,3.979999999999997
56,3,GO,1.550000000000001,62.839999999999996,61.6,11.399999999999991,1.3022806117681796,0,2.8399999999999963
57,3,GO,1.6299999999999888,61.68,61.6,11.59999999999999,1.1809961183740647,0,1.6799999999999997
