step,action,action_name,reward,ego_x,ego_y,ego_v,ttc_min,collision,d_cz
0,3,GO,0.06999999999994544,54.8,4.119999999999999,0.2,10.0,0,45.88
1,3,GO,0.15000000000001876,54.8,4.159999999999999,0.4,10.0,0,45.84
2,3,GO,0.23000000000000684,54.8,4.219999999999999,0.6000000000000001,10.0,0,45.78
3,3,GO,0.3099999999999949,54.8,4.299999999999999,0.8,10.0,0,45.7
4,3,GO,0.3899999999999829,54.8,4.399999999999999,1.0,10.0,0,45.6
5,3,GO,0.47000000000001363,54.8,4.519999999999999,1.2,60.53536395277593,0,45.480000000000004
6,3,GO,0.5500000000000017,54.8,4.659999999999998,1.4,50.39170115611719,0,45.34
7,3,GO,0.6300000000000324,54.8,4.8199999999999985,1.5999999999999999,41.611308853520896,0,45.18
8,3,GO,0.7099999999999778,54.8,4.999999999999998,1.7999999999999998,34.8697923375657,0,45.0
9,3,GO,0.7900000000000085,54.8,5.199999999999998,1.9999999999999998,29.803970847920823,0,44.800000000000004
10,3,GO,0.8699999999999966,54.8,5.419999999999998,2.1999999999999997,26.228625937408058,0,44.58
11,3,GO,0.9499999999999846,54.8,5.659999999999998,2.4,23.075271099611413,0,44.34
12,3,GO,1.0300000000000153,54.8,5.919999999999998,2.6,20.77064560038793,0,44.08
13,3,GO,1.1100000000000034,54.8,6.199999999999998,2.8000000000000003,18.782155152175182,0,43.800000000000004
14,3,GO,1.1899999999999915,54.8,6.499999999999998,3.0000000000000004,17.20806460049418,0,43.5
15,3,GO,1.2700000000000222,54.8,6.819999999999998,3.2000000000000006,15.638069207451462,0,43.18
16,3,GO,1.3499999999999677,54.8,7.159999999999998,3.400000000000001,14.396862672572597,0,42.84
17,3,GO,1.4299999999999984,54.8,7.519999999999999,3.600000000000001,13.39299130702247,0,42.480000000000004
18,3,GO,1.5099999999999865,54.8,7.899999999999999,3.800000000000001,12.542572826767463,0,42.1
19,3,GO,1.5900000000000172,54.8,8.299999999999999,4.000000000000001,11.652193393624685,0,41.7
20,3,GO,1.6700000000000053,54.8,8.719999999999999,4.200000000000001,10.886815162515116,0,41.28
21,3,GO,1.7499999999999933,54.8,9.159999999999998,4.400000000000001,10.195067776454716,0,40.84
22,3,GO,1.8299999999999814,54.8,9.62,4.600000000000001,9.526834795551009,0,40.38
23,3,GO,1.9100000000000548,54.8,10.1,4.800000000000002,9.072495112430907,0,39.9
24,3,GO,1.9900000000000002,54.8,10.6,5.000000000000002,8.49987386843912,0,39.4
25,3,GO,2.0699999999999457,54.8,11.12,5.200000000000002,8.1066837441135,0,38.88
26,1,CREEP,2.000000000000045,54.8,11.635,5.150000000000002,7.861610332058833,0,38.365
27,3,GO,2.0799999999999903,54.8,12.17,5.350000000000002,7.4408556545436895,0,37.83
28,3,GO,2.210000000000021,54.8,12.725,5.5500000000000025,7.102046082049221,0,37.275
29,3,GO,2.2899999999999663,54.8,13.299999999999999,5.750000000000003,6.751449017404307,0,36.7
30,3,GO,2.369999999999997,54.8,13.895000000000001,5.950000000000003,6.369459572883566,0,36.105
31,3,GO,2.4500000000000277,54.8,14.51,6.150000000000003,6.073729017775722,0,35.489999999999995
32,3,GO,2.529999999999973,54.8,15.145000000000001,6.350000000000003,5.782405538311646,0,34.855
33,3,GO,2.610000000000004,54.8,15.800000000000002,6.550000000000003,5.475270951603455,0,34.199999999999996
34,3,GO,2.6900000000000346,54.8,16.475,6.7500000000000036,5.195061725968719,0,33.525
35,3,GO,2.76999999999998,54.8,17.17,6.950000000000004,4.9107177494498,0,32.83
36,3,GO,2.8500000000000107,54.8,17.885,7.150000000000004,4.657386790915255,0,32.114999999999995
37,3,GO,2.929999999999999,54.8,18.62,7.350000000000004,4.430957111534998,0,31.379999999999995
38,3,GO,3.009999999999987,54.8,19.375,7.550000000000004,4.221425714565798,0,30.625
39,3,GO,3.0900000000000176,54.8,20.150000000000002,7.750000000000004,4.025628364809036,0,29.849999999999994
40,3,GO,3.1700000000000057,54.8,20.945000000000004,7.950000000000005,3.8239720613695267,0,29.054999999999993
41,3,GO,3.249999999999994,54.8,21.760000000000005,8.150000000000004,3.633762789593368,0,28.239999999999995
42,3,GO,3.330000000000024,54.8,22.595000000000006,8.350000000000003,3.4355316140392516,0,27.404999999999994
43,3,GO,3.4099999999999695,54.8,23.450000000000006,8.550000000000002,3.2493535310483934,0,26.549999999999997
44,3,GO,3.49,54.8,24.325000000000006,8.750000000000002,3.0750136101343406,0,25.674999999999997
45,3,GO,0.5700000000000309,54.8,25.220000000000006,8.950000000000001,2.9142542155883793,0,24.779999999999994
46,3,GO,0.6499999999999764,54.8,26.135000000000005,9.15,2.7581942541396915,0,23.864999999999995
47,3,GO,0.7300000000000066,54.8,27.07,9.35,2.597556187782866,0,22.929999999999993
48,3,GO,0.8099999999999947,54.8,28.025000000000002,9.549999999999999,2.429933648015889,0,21.974999999999998
49,3,GO,0.8900000000000254,54.8,29.000000000000004,9.749999999999998,2.27196330920702,0,20.999999999999996
